wavenumber,blue,black,red
3853.137,23.97012,23.94091,49.69502
3854.102,23.92847,23.92587,49.63696
3855.066,23.97483,23.89647,49.67548
3856.03,24.01792,23.88554,49.72625
3856.995,24.01973,23.88513,49.72808
3857.959,24.02434,23.86174,49.74183
3858.923,24.04578,23.87284,49.7386
3859.887,24.02491,23.89126,49.69894
3860.852,23.97201,23.85597,49.6813
3861.816,23.96482,23.83427,49.6924
3862.78,23.96784,23.82132,49.68872
3863.744,23.95275,23.79911,49.67597
3864.708,23.93328,23.78161,49.65128
3865.673,23.91834,23.77346,49.64433
3866.637,23.94317,23.74982,49.67763
3867.601,23.94473,23.74411,49.68472
3868.565,23.9396,23.73467,49.64084
3869.53,23.90826,23.73331,49.591
3870.494,23.87181,23.74776,49.60079
3871.458,23.89205,23.72818,49.65463
3872.423,23.89686,23.69518,49.68204
3873.387,23.88416,23.68229,49.68317
3874.351,23.86565,23.6621,49.6819
3875.315,23.83475,23.64675,49.68374
3876.28,23.8195,23.63752,49.70989
3877.244,23.79945,23.62725,49.6786
3878.208,23.78448,23.61204,49.65221
3879.172,23.75562,23.59065,49.64814
3880.136,23.71894,23.56426,49.63103
3881.101,23.72297,23.53873,49.63076
3882.065,23.71765,23.5052,49.6341
3883.029,23.70299,23.48477,49.63719
3883.993,23.68693,23.47371,49.63263
3884.958,23.63792,23.4651,49.58501
3885.922,23.62042,23.44142,49.56373
3886.886,23.62272,23.40714,49.58563
3887.851,23.62914,23.37557,49.60761
3888.815,23.62849,23.35119,49.6058
3889.779,23.60422,23.32389,49.57587
3890.743,23.5798,23.29242,49.54396
3891.708,23.5549,23.27389,49.54311
3892.672,23.54009,23.24753,49.5555
3893.636,23.52725,23.21524,49.53453
3894.6,23.49795,23.19293,49.49851
3895.564,23.48303,23.15662,49.48846
3896.529,23.47291,23.12,49.48403
3897.493,23.44986,23.07806,49.46304
3898.457,23.43011,23.03617,49.43242
3899.421,23.39338,22.99778,49.41743
3900.386,23.36947,22.95024,49.40539
3901.35,23.35677,22.89759,49.36994
3902.314,23.3481,22.84521,49.35854
3903.279,23.31894,22.80306,49.34193
3904.243,23.28382,22.76004,49.31205
3905.207,23.27937,22.70039,49.31314
3906.171,23.26313,22.63396,49.31015
3907.135,23.24334,22.54897,49.29316
3908.1,23.21421,22.48153,49.26194
3909.064,23.17487,22.4349,49.23559
3910.028,23.1404,22.36521,49.20856
3910.992,23.09786,22.2695,49.17812
3911.957,23.05593,22.17544,49.13491
3912.921,23.02288,22.09437,49.11082
3913.885,22.97905,22.01274,49.09268
3914.849,22.93347,21.91579,49.05139
3915.814,22.88532,21.81058,49.01395
3916.778,22.82877,21.70518,48.96772
3917.742,22.77213,21.60213,48.93144
3918.707,22.72311,21.49439,48.90027
3919.671,22.66065,21.38066,48.86148
3920.635,22.59774,21.26304,48.83736
3921.599,22.53827,21.14911,48.82768
3922.563,22.47899,21.02342,48.7907
3923.528,22.40388,20.88543,48.73882
3924.492,22.32523,20.75074,48.69859
3925.456,22.25215,20.62148,48.67144
3926.42,22.1822,20.49641,48.64487
3927.385,22.10803,20.36384,48.6099
3928.349,22.02612,20.22288,48.55935
3929.313,21.94397,20.09051,48.51764
3930.277,21.85919,19.95861,48.48694
3931.242,21.76356,19.82582,48.45218
3932.206,21.67466,19.68349,48.41093
3933.17,21.60075,19.55179,48.38486
3934.135,21.52114,19.42999,48.36593
3935.099,21.44471,19.31517,48.33506
3936.063,21.36348,19.20357,48.30453
3937.027,21.27254,19.09446,48.27408
3937.991,21.20402,18.99975,48.25524
3938.956,21.1401,18.91332,48.24194
3939.92,21.0723,18.82305,48.21703
3940.884,21.00624,18.74406,48.19194
3941.848,20.95189,18.6781,48.18083
3942.813,20.9012,18.61864,48.16921
3943.777,20.8562,18.57423,48.15428
3944.741,20.83127,18.53282,48.14828
3945.705,20.81544,18.5031,48.14191
3946.67,20.78975,18.48158,48.13438
3947.634,20.76931,18.46547,48.13677
3948.598,20.76218,18.47305,48.13675
3949.563,20.7614,18.49404,48.14139
3950.527,20.76472,18.50762,48.15732
3951.491,20.77846,18.53064,48.16601
3952.455,20.797,18.57203,48.16999
3953.419,20.82482,18.62287,48.18866
3954.384,20.8593,18.67393,48.21738
3955.348,20.88779,18.7274,48.23764
3956.312,20.91497,18.79084,48.25125
3957.276,20.94951,18.86038,48.27067
3958.241,20.98753,18.92969,48.29785
3959.205,21.03265,19.00313,48.33367
3960.169,21.0757,19.07825,48.35841
3961.133,21.11324,19.15289,48.38043
3962.098,21.15174,19.22824,48.40932
3963.062,21.19573,19.30457,48.44428
3964.026,21.24133,19.38004,48.47609
3964.99,21.28338,19.45999,48.50546
3965.955,21.32334,19.54407,48.53588
3966.919,21.36179,19.61942,48.56884
3967.883,21.40231,19.69214,48.59856
3968.847,21.44017,19.7666,48.62387
3969.812,21.47809,19.83835,48.65567
3970.776,21.51416,19.90788,48.68858
3971.74,21.54971,19.97839,48.72149
3972.704,21.58674,20.04944,48.7466
3973.669,21.62541,20.1143,48.76921
3974.633,21.66786,20.17356,48.80378
3975.597,21.70736,20.23869,48.83942
3976.561,21.74363,20.30483,48.86909
3977.526,21.77225,20.36343,48.89492
3978.49,21.80618,20.42328,48.91763
3979.454,21.84657,20.48197,48.94038
3980.418,21.88795,20.5369,48.96893
3981.383,21.92702,20.58645,48.99136
3982.347,21.96521,20.64263,49.01525
3983.311,22.00341,20.70088,49.04372
3984.275,22.04433,20.75453,49.0691
3985.24,22.08153,20.80485,49.09249
3986.204,22.11607,20.85278,49.11527
3987.168,22.1561,20.90268,49.14423
3988.132,22.19952,20.95329,49.17552
3989.097,22.24018,21.00282,49.20061
3990.061,22.27569,21.05103,49.21698
3991.025,22.31357,21.1022,49.23945
3991.989,22.35897,21.15231,49.27471
3992.954,22.40388,21.19706,49.30612
3993.918,22.44446,21.24266,49.326
3994.882,22.48331,21.29235,49.35029
3995.846,22.52596,21.3414,49.3837
3996.811,22.56781,21.38653,49.41392
3997.775,22.61072,21.43306,49.43824
3998.739,22.65566,21.48027,49.45949
3999.703,22.70219,21.5306,49.49059
4000.667,22.75064,21.58385,49.52511
4001.632,22.79675,21.637,49.55582
4002.596,22.83967,21.68886,49.58213
4003.56,22.88787,21.74092,49.6115
4004.525,22.9377,21.79675,49.6445
4005.489,22.98529,21.85368,49.67436
4006.453,23.03279,21.9085,49.70234
4007.417,23.08094,21.96212,49.72944
4008.382,23.132,22.0193,49.7604
4009.346,23.186,22.08225,49.79551
4010.31,23.23949,22.14606,49.82958
4011.274,23.28941,22.20558,49.85587
4012.239,23.34127,22.26722,49.88435
4013.203,23.39566,22.33155,49.92242
4014.167,23.45082,22.39584,49.9581
4015.131,23.50623,22.46101,49.98854
4016.096,23.56273,22.52811,50.02236
4017.06,23.62094,22.59763,50.06146
4018.024,23.67856,22.66751,50.10066
4018.988,23.73509,22.73577,50.13415
4019.953,23.79038,22.80534,50.16921
4020.917,23.84729,22.87881,50.20912
4021.881,23.90665,22.95143,50.25346
4022.845,23.96524,23.02244,50.29445
4023.81,24.0232,23.09344,50.33171
4024.774,24.0826,23.1655,50.37307
4025.738,24.14359,23.24113,50.42173
4026.702,24.20413,23.31569,50.46885
4027.667,24.26086,23.38794,50.51277
4028.631,24.31673,23.46014,50.56046
4029.595,24.37603,23.53293,50.61101
4030.559,24.43396,23.60692,50.65977
4031.523,24.48829,23.67793,50.7038
4032.488,24.54236,23.74679,50.75002
4033.452,24.59876,23.81763,50.80153
4034.416,24.65351,23.88949,50.85046
4035.381,24.70798,23.95824,50.89744
4036.345,24.7592,24.02458,50.94564
4037.309,24.80914,24.09048,50.99209
4038.273,24.86057,24.15666,51.03738
4039.238,24.91016,24.22116,51.07946
4040.202,24.95956,24.28385,51.11824
4041.166,25.00748,24.34675,51.15914
4042.13,25.05365,24.40973,51.20208
4043.094,25.10008,24.47163,51.24075
4044.059,25.14411,24.5326,51.27447
4045.023,25.1875,24.59335,51.3109
4045.987,25.23447,24.65491,51.35078
4046.952,25.2802,24.71479,51.38749
4047.916,25.32259,24.77316,51.4213
4048.88,25.36415,24.8322,51.4547
4049.844,25.4078,24.89289,51.49207
