Wavelength (nm),Ikaite
698,0.498170054
699,0.498190643
700,0.498247509
701,0.498306084
702,0.498348453
703,0.498414783
704,0.498441815
705,0.498440197
706,0.498483457
707,0.498506799
708,0.498513325
709,0.498528712
710,0.49858749
711,0.49862026
712,0.498595722
713,0.498634593
714,0.498633602
715,0.498594998
716,0.498651532
717,0.498683755
718,0.498694335
719,0.498729632
720,0.498749372
721,0.498752802
722,0.498753513
723,0.498798749
724,0.498818892
725,0.498799226
726,0.498812957
727,0.49882694
728,0.498844824
729,0.498884542
730,0.49892539
731,0.498943636
732,0.498934591
733,0.498983748
734,0.499012483
735,0.499003748
736,0.499071221
737,0.499138718
738,0.499185256
739,0.499219845
740,0.499299306
741,0.499406843
742,0.499513736
743,0.499643384
744,0.499757555
745,0.499848448
746,0.499977753
747,0.500112194
748,0.500229215
749,0.500310946
750,0.500433866
751,0.500573005
752,0.500686123
753,0.500806289
754,0.500902005
755,0.500976797
756,0.501131959
757,0.501208169
758,0.501233467
759,0.501369415
760,0.501518679
761,0.501644813
762,0.501741202
763,0.501894451
764,0.50204599
765,0.502164347
766,0.502294527
767,0.502416844
768,0.502543223
769,0.502704041
770,0.502829757
771,0.502934096
772,0.503047668
773,0.503169883
774,0.503283904
775,0.503403753
776,0.503620944
777,0.503773224
778,0.503881382
779,0.50406712
780,0.504198576
781,0.504307893
782,0.504448326
783,0.504608278
784,0.504771839
785,0.504937539
786,0.505131821
787,0.505279577
788,0.505407145
789,0.505584613
790,0.505763047
791,0.505913443
792,0.506036131
793,0.506219989
794,0.506393701
795,0.506552361
796,0.506772527
797,0.506890832
798,0.50698859
799,0.507201359
800,0.507340689
801,0.507442515
802,0.507554218
803,0.507695966
804,0.507816054
805,0.50792735
806,0.508089132
807,0.508189504
808,0.508256562
809,0.508339677
810,0.508407505
811,0.508464802
812,0.508525382
813,0.50861719
814,0.508720176
815,0.508816245
816,0.508886276
817,0.508917369
818,0.508934127
819,0.508957757
820,0.50897949
821,0.509025804
822,0.509082915
823,0.509100774
824,0.509123387
825,0.509128327
826,0.509092205
827,0.509072766
828,0.509074866
829,0.509076594
830,0.509012051
831,0.508971996
832,0.508922733
833,0.508795183
834,0.508734104
835,0.508706715
836,0.508666604
837,0.508597121
838,0.508513501
839,0.508390499
840,0.508182334
841,0.508102226
842,0.508027343
843,0.507831022
844,0.507675853
845,0.507538814
846,0.507384872
847,0.507166808
848,0.507039228
849,0.506881935
850,0.506559612
851,0.506381
852,0.506211566
853,0.505977271
854,0.505750619
855,0.505506264
856,0.505231568
857,0.504927789
858,0.504695098
859,0.504449452
860,0.504153843
861,0.50393442
862,0.503632042
863,0.503277594
864,0.5029969
865,0.502685514
866,0.502372007
867,0.50208083
868,0.501775729
869,0.501417513
870,0.501061181
871,0.500813452
872,0.50040087
873,0.499959454
874,0.499624773
875,0.499271691
876,0.498936258
877,0.49860308
878,0.498221114
879,0.497844253
880,0.497544231
881,0.497329117
882,0.49697939
883,0.49665045
884,0.496352056
885,0.495967396
886,0.495585474
887,0.495217052
888,0.494851974
889,0.494464938
890,0.494109295
891,0.493742617
892,0.493245363
893,0.492805541
894,0.492337808
895,0.491777059
896,0.491335858
897,0.490899033
898,0.49043134
899,0.489967175
900,0.489561953
901,0.489125548
902,0.488621697
903,0.488286399
904,0.487867442
905,0.487452667
906,0.487341849
907,0.487216005
908,0.487161977
909,0.487260886
910,0.487415958
911,0.487568856
912,0.4877372
913,0.487963287
914,0.488036894
915,0.488146032
916,0.488347403
917,0.488325421
918,0.488301567
919,0.488335804
920,0.488400364
921,0.488306853
922,0.488268589
923,0.488316407
924,0.488174803
925,0.488155276
926,0.488151329
927,0.488014075
928,0.487988872
929,0.487936515
930,0.487821968
931,0.487718066
932,0.487627861
933,0.487485126
934,0.487295093
935,0.487332331
936,0.487171322
937,0.486888983
938,0.486793395
939,0.486562915
940,0.486281638
941,0.486054045
942,0.485949798
943,0.48576426
944,0.485543734
945,0.485348567
946,0.484887482
947,0.484523
948,0.484280135
949,0.483876058
950,0.483403715
951,0.48298999
952,0.48266586
953,0.482211677
954,0.481813425
955,0.481412596
956,0.480899691
957,0.480487265
958,0.48006269
959,0.479598819
960,0.47918295
961,0.478796064
962,0.47835323
963,0.477844696
964,0.477509593
965,0.477075686
966,0.476609232
967,0.476267359
968,0.475739073
969,0.475218233
970,0.474810544
971,0.474475366
972,0.47403717
973,0.473622695
974,0.473250481
975,0.472478587
976,0.472478587
977,0.471975034
978,0.471346613
979,0.470947522
980,0.470677502
981,0.47025851
982,0.469747939
983,0.46918279
984,0.468701863
985,0.468128315
986,0.46768602
987,0.46746879
988,0.467066799
989,0.466602119
990,0.466149465
991,0.465616651
992,0.465075577
993,0.464757933
994,0.464427763
995,0.464161587
996,0.463918747
997,0.463540368
998,0.463164007
999,0.462846592
1000,0.462533897
1001,0.462271883
1002,0.462072742
1003,0.461864665
1004,0.46171494
1005,0.461483843
1006,0.46114143
1007,0.460948103
1008,0.460773912
1009,0.460643536
1010,0.460645474
1011,0.460646864
1012,0.460494757
1013,0.4603326
1014,0.460348139
1015,0.460429476
1016,0.460517564
1017,0.460743022
1018,0.460928674
1019,0.461058099
1020,0.461225212
1021,0.461473917
1022,0.46169635
1023,0.461873814
1024,0.462104056
1025,0.462404374
1026,0.4626381
1027,0.462857166
1028,0.463149948
1029,0.463426547
1030,0.463686448
1031,0.463985754
1032,0.464316077
1033,0.464651678
1034,0.465014268
1035,0.465361258
1036,0.465725777
1037,0.466058615
1038,0.466352758
1039,0.466686349
1040,0.467015439
1041,0.467369309
1042,0.467781024
1043,0.468150408
1044,0.468498623
1045,0.468863036
1046,0.469212596
1047,0.469544324
1048,0.469871734
1049,0.470189109
1050,0.470530071
1051,0.470859989
1052,0.471214437
1053,0.471612021
1054,0.471980159
1055,0.472344509
1056,0.472702035
1057,0.473031694
1058,0.473394481
1059,0.473759404
1060,0.474144808
1061,0.474622294
1062,0.474998277
1063,0.475380311
1064,0.475759633
1065,0.476104514
1066,0.476390292
1067,0.476732882
1068,0.477088165
1069,0.477430854
1070,0.477809107
1071,0.478130225
1072,0.478451034
1073,0.478706309
1074,0.478900887
1075,0.479092808
1076,0.479173355
1077,0.479347574
1078,0.479570019
1079,0.479798643
1080,0.480065992
1081,0.480350143
1082,0.48050671
1083,0.480580952
1084,0.480682359
1085,0.480724134
1086,0.480760793
1087,0.480795615
1088,0.48083329
1089,0.480820221
1090,0.480852797
1091,0.480995955
1092,0.48100238
1093,0.48092382
1094,0.480869201
1095,0.480768585
1096,0.480635199
1097,0.480563874
1098,0.480510404
1099,0.480396191
1100,0.480283081
1101,0.480199925
1102,0.48013622
1103,0.480035716
1104,0.47998049
1105,0.479821543
1106,0.4795603
1107,0.479362004
1108,0.479133345
1109,0.478940739
1110,0.478828928
1111,0.478637656
1112,0.478395299
1113,0.47817845
1114,0.477971779
1115,0.477724376
1116,0.477507239
1117,0.477236739
1118,0.47692874
1119,0.476603243
1120,0.476208137
1121,0.475788354
1122,0.475308398
1123,0.474775613
1124,0.474178216
1125,0.473570465
1126,0.472819922
1127,0.472011554
1128,0.4710491
1129,0.469944611
1130,0.468799622
1131,0.467559357
1132,0.466231989
1133,0.464863092
1134,0.463383809
1135,0.461887297
1136,0.460359462
1137,0.458754216
1138,0.457233797
1139,0.45567082
1140,0.454036552
1141,0.452489159
1142,0.45096033
1143,0.449467798
1144,0.448020851
1145,0.446606243
1146,0.445235032
1147,0.443901785
1148,0.442643095
1149,0.441317752
1150,0.440027971
1151,0.438653711
1152,0.437213086
1153,0.435732172
1154,0.434147868
1155,0.43254425
1156,0.430930502
1157,0.429261451
1158,0.42752691
1159,0.425715574
1160,0.423864015
1161,0.421934982
1162,0.419920948
1163,0.417968872
1164,0.416002198
1165,0.413987368
1166,0.411969037
1167,0.40996867
1168,0.407938591
1169,0.405865971
1170,0.403826733
1171,0.401755565
1172,0.399734021
1173,0.397641651
1174,0.395449732
1175,0.393264196
1176,0.391038312
1177,0.38887006
1178,0.386838582
1179,0.384865113
1180,0.383075732
1181,0.381457957
1182,0.379950877
1183,0.378711106
1184,0.377690244
1185,0.376866161
1186,0.376268289
1187,0.375837149
1188,0.375673049
1189,0.375531892
1190,0.375522522
1191,0.37557575
1192,0.375673381
1193,0.375727706
1194,0.37579036
1195,0.375842752
1196,0.375798535
1197,0.375690117
1198,0.375514577
1199,0.375252425
1200,0.374931808
1201,0.374587477
1202,0.374241141
1203,0.373869212
1204,0.373469348
1205,0.37313495
1206,0.372818806
1207,0.372510555
1208,0.372302212
1209,0.372089584
1210,0.37190478
1211,0.371732524
1212,0.371627168
1213,0.371529422
1214,0.371459756
1215,0.371382988
1216,0.371299801
1217,0.371254081
1218,0.371215551
1219,0.371226635
1220,0.371301736
1221,0.371377007
1222,0.371498288
1223,0.371627839
1224,0.371728907
1225,0.37183843
1226,0.371913137
1227,0.371990743
1228,0.372094838
1229,0.372172688
1230,0.372256092
1231,0.37231583
1232,0.372332705
1233,0.372361603
1234,0.372380787
1235,0.372384409
1236,0.372398136
1237,0.372406596
1238,0.372390102
1239,0.37236534
1240,0.372317637
1241,0.37228721
1242,0.372242826
1243,0.372192054
1244,0.37216714
1245,0.37211273
1246,0.372069372
1247,0.372018519
1248,0.371939572
1249,0.371875499
1250,0.371800586
1251,0.371745275
1252,0.371723156
1253,0.371695815
1254,0.371692926
1255,0.371698189
1256,0.371668156
1257,0.371678107
1258,0.371692677
1259,0.371711789
1260,0.371751652
1261,0.371806733
1262,0.371860804
1263,0.371934108
1264,0.372042067
1265,0.372116511
1266,0.372209721
1267,0.372318589
1268,0.37241802
1269,0.372532332
1270,0.372656074
1271,0.372755086
1272,0.37284996
1273,0.372931047
1274,0.372991736
1275,0.373077982
1276,0.373170408
1277,0.373279035
1278,0.373406245
1279,0.373492043
1280,0.373543552
1281,0.373607602
1282,0.373649704
1283,0.373676165
1284,0.373703054
1285,0.373701871
1286,0.373714386
1287,0.373739031
1288,0.37372768
1289,0.373716642
1290,0.373685539
1291,0.373621062
1292,0.373539893
1293,0.37346823
1294,0.373405045
1295,0.373331188
1296,0.37323
1297,0.373111119
1298,0.37296924
1299,0.372774949
1300,0.372557562
1301,0.372337975
1302,0.372089655
1303,0.371834586
1304,0.371559953
1305,0.371242947
1306,0.370889413
1307,0.37051029
1308,0.370103984
1309,0.369664115
1310,0.369200735
1311,0.368689392
1312,0.368138747
1313,0.367587805
1314,0.367020571
1315,0.366405504
1316,0.365768936
1317,0.36505926
1318,0.364285823
1319,0.363497263
1320,0.362644508
1321,0.361785929
1322,0.360933694
1323,0.36001849
1324,0.359055334
1325,0.358081375
1326,0.357052971
1327,0.35599509
1328,0.354908765
1329,0.353775886
1330,0.352675774
1331,0.351557308
1332,0.350375276
1333,0.349220723
1334,0.34798276
1335,0.346707241
1336,0.345520029
1337,0.344279872
1338,0.343062615
1339,0.341882428
1340,0.340627364
1341,0.339362376
1342,0.338073147
1343,0.336794884
1344,0.335546621
1345,0.334289533
1346,0.333100521
1347,0.331883235
1348,0.330675256
1349,0.329458739
1350,0.328303022
1351,0.327138658
1352,0.326070232
1353,0.325047698
1354,0.324081897
1355,0.323228467
1356,0.322325987
1357,0.32146696
1358,0.320588321
1359,0.319679047
1360,0.318809077
1361,0.317984416
1362,0.31711578
1363,0.316235026
1364,0.315286753
1365,0.314269402
1366,0.313204434
1367,0.312067587
1368,0.310921843
1369,0.309749595
1370,0.308519836
1371,0.307319018
1372,0.306119336
1373,0.30484752
1374,0.303537167
1375,0.302133363
1376,0.30063225
1377,0.299077652
1378,0.297404801
1379,0.29567232
1380,0.293808246
1381,0.291739655
1382,0.289533301
1383,0.2871267
1384,0.28465843
1385,0.282153452
1386,0.279507278
1387,0.276882507
1388,0.274257863
1389,0.271567176
1390,0.268825707
1391,0.266077628
1392,0.263258021
1393,0.260489868
1394,0.257695324
1395,0.254911766
1396,0.252201839
1397,0.24938144
1398,0.246549272
1399,0.24363706
1400,0.24061851
1401,0.237639601
1402,0.234594913
1403,0.23159585
1404,0.228666065
1405,0.225689773
1406,0.222662784
1407,0.219657974
1408,0.216570737
1409,0.213553263
1410,0.210584822
1411,0.207592829
1412,0.20474348
1413,0.201893684
1414,0.199002449
1415,0.196208768
1416,0.193361901
1417,0.190530581
1418,0.187781539
1419,0.18501452
