data,data2
5.57129659763314e-06,52166.6119240093
5.63285965236686e-06,52926.0071328314
5.69442270710059e-06,53017.5750816854
5.75598576183432e-06,52900.9396677852
5.81754881656805e-06,52767.9580226729
5.87911187130178e-06,52707.8389823243
5.9406749260355e-06,52624.7864029387
6.00223798076923e-06,53058.7660431333
6.06380103550296e-06,52831.7800186585
6.12536409023669e-06,52463.5831317744
6.18692714497041e-06,51970.0019217147
6.24849019970414e-06,51493.0622979724
6.31005325443787e-06,51503.4174206858
6.3716163091716e-06,52740.5407808876
6.43317936390533e-06,56088.9897603533
6.49474241863905e-06,60667.8912232687
6.55630547337278e-06,65834.523298325
6.61786852810651e-06,71764.0210021126
6.67943158284024e-06,78637.7233310921
6.74099463757397e-06,86641.0764738752
6.80255769230769e-06,95801.2606412725
6.86412074704142e-06,105913.552423636
6.92568380177515e-06,115585.15644892
6.98724685650888e-06,121577.522233444
7.0488099112426e-06,124014.710524059
7.11037296597633e-06,126865.196852381
7.17193602071006e-06,92867.0863450902
7.23349907544379e-06,87905.9652796583
7.29506213017752e-06,86317.7857949293
7.35662518491124e-06,84311.4716570211
7.41818823964497e-06,81801.5734489158
7.4797512943787e-06,79544.8572724024
7.54131434911243e-06,77443.8964245364
7.60287740384615e-06,75605.7826801597
7.66444045857988e-06,74173.6821993572
7.72600351331361e-06,74085.7538038853
7.78756656804734e-06,74139.6515700979
7.84912962278107e-06,73799.9945628263
7.91069267751479e-06,73270.7527854757
7.97225573224852e-06,72698.5799104444
8.03381878698225e-06,72118.3971867079
8.09538184171598e-06,71560.6727545184
8.15694489644971e-06,70985.5455716139
8.21850795118343e-06,70442.1311783293
8.28007100591716e-06,69752.9434474792
8.34163406065089e-06,68935.9582627974
8.40319711538461e-06,68936.8885652991
8.46476017011834e-06,68451.8208555538
8.52632322485207e-06,67913.138149343
8.5878862795858e-06,67928.0941156349
8.64944933431953e-06,66963.7013118477
8.71101238905325e-06,67767.4209090393
8.77257544378698e-06,68943.658594308
8.83413849852071e-06,69677.8815783429
8.89570155325444e-06,69969.52558635
8.95726460798817e-06,70148.6640666789
9.01882766272189e-06,70381.0537156705
9.08039071745562e-06,70646.0944814146
9.14195377218935e-06,70894.7090292703
9.20351682692308e-06,71115.4282891218
9.2650798816568e-06,71315.2715125261
9.32664293639053e-06,71497.6161778272
9.38820599112426e-06,71666.1984486241
9.44976904585799e-06,71827.8034767643
9.51133210059172e-06,71961.6029239808
9.57289515532544e-06,72074.2171482931
9.63445821005917e-06,72191.4999598919
9.6960212647929e-06,72274.4408962338
9.75758431952663e-06,72370.1886213117
9.81914737426035e-06,72440.0155892398
9.88071042899408e-06,72530.2499565493
9.94227348372781e-06,72575.6550792568
1.00038365384615e-05,72542.5114884292
1.00653995931953e-05,72437.6161712042
1.0126962647929e-05,72266.5830708215
1.01885257026627e-05,72030.9689681875
1.02500887573965e-05,71724.9283880924
1.03116518121302e-05,71335.1671766352
1.03732148668639e-05,70861.9142859333
1.04347779215976e-05,70284.5664747228
1.04963409763314e-05,69613.9878594092
1.05579040310651e-05,68830.034477526
1.06194670857988e-05,67940.4687024437
1.06810301405325e-05,66960.475686352
1.07425931952663e-05,65884.1108660171
1.080415625e-05,64755.9999937609
1.08657193047337e-05,63591.4530974963
1.09272823594675e-05,62370.9806947727
1.09888454142012e-05,61088.190473726
1.10504084689349e-05,59850.6291110252
1.11119715236686e-05,59961.028983562
1.11735345784024e-05,61655.2297998242
1.12350976331361e-05,65421.9746929965
1.12966606878698e-05,76869.7052024743
1.13582237426036e-05,95561.321996885
1.14197867973373e-05,111734.189461413
1.1481349852071e-05,131596.919823727
1.15429129068047e-05,86841.9755755707
1.16044759615385e-05,79439.0593336209
1.16660390162722e-05,76111.4337961088
1.17276020710059e-05,74164.8528837617
1.17891651257396e-05,72929.3326471328
1.18507281804734e-05,72189.6181729036
1.19122912352071e-05,71820.395493001
1.19738542899408e-05,71698.6566461003
1.20354173446746e-05,71735.0325350484
1.20969803994083e-05,71861.087506853
1.2158543454142e-05,72024.1683952001
1.22201065088757e-05,72189.275569067
1.22816695636095e-05,72335.8084021357
1.23432326183432e-05,72449.3371048431
1.24047956730769e-05,72521.5162288319
1.24663587278107e-05,72547.3663603527
1.25279217825444e-05,72526.7094631822
1.25894848372781e-05,72459.5885573943
1.26510478920118e-05,72349.0731310858
1.27126109467456e-05,72197.1376948575
1.27741740014793e-05,72010.1478402642
