T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,,Vol%,,,,
,,,,Hydrohalite,Sylvite,Gypsum,Meridianiite,Mirabilite,Hydrohalite,Sylvite,Gypsum,Meridianiite,Mirabilite
247.75,13.9311,1.21337,1065.94,0,0,0.138771,0,10.3937,0.0%,0.0%,1.3%,0.0%,98.7%
247.7,13.9109,1.2137,1065.96,0,0,0.138708,0,10.3944,0.0%,0.0%,1.3%,0.0%,98.7%
247.65,13.8911,1.214,1065.98,0,0,0.138642,0,10.395,0.0%,0.0%,1.3%,0.0%,98.7%
247.6,13.8707,1.21436,1066,0,0,0.138583,0,10.3957,0.0%,0.0%,1.3%,0.0%,98.7%
247.55,13.8507,1.21469,1066.02,0,0,0.13852,0,10.3963,0.0%,0.0%,1.3%,0.0%,98.7%
247.5,13.8306,1.21503,1066.04,0,0,0.138458,0,10.397,0.0%,0.0%,1.3%,0.0%,98.7%
247.45,13.8109,1.21535,1066.06,0,0,0.138394,0,10.3976,0.0%,0.0%,1.3%,0.0%,98.7%
247.4,13.791,1.21569,1066.08,0,0,0.138332,0,10.3982,0.0%,0.0%,1.3%,0.0%,98.7%
247.35,13.7715,1.21601,1066.1,0,0,0.138267,0,10.3989,0.0%,0.0%,1.3%,0.0%,98.7%
247.3,13.7518,1.21635,1066.12,0,0,0.138204,0,10.3995,0.0%,0.0%,1.3%,0.0%,98.7%
247.25,13.7323,1.21667,1066.14,0,0,0.138139,0,10.4002,0.0%,0.0%,1.3%,0.0%,98.7%
247.2,13.7129,1.21701,1066.16,0,0,0.138075,0,10.4008,0.0%,0.0%,1.3%,0.0%,98.7%
247.15,13.6935,1.21734,1066.18,0,0,0.13801,0,10.4014,0.0%,0.0%,1.3%,0.0%,98.7%
247.1,13.6742,1.21767,1066.2,0,0,0.137946,0,10.402,0.0%,0.0%,1.3%,0.0%,98.7%
247.05,13.6549,1.218,1066.22,0,0,0.137881,0,10.4027,0.0%,0.0%,1.3%,0.0%,98.7%
247,13.6358,1.21834,1066.24,0,0,0.137816,0,10.4033,0.0%,0.0%,1.3%,0.0%,98.7%
246.95,13.6167,1.21867,1066.26,0,0,0.137751,0,10.4039,0.0%,0.0%,1.3%,0.0%,98.7%
246.9,13.5975,1.21902,1066.28,0,0,0.137687,0,10.4045,0.0%,0.0%,1.3%,0.0%,98.7%
246.85,13.5787,1.21934,1066.3,0,0,0.13762,0,10.4051,0.0%,0.0%,1.3%,0.0%,98.7%
246.8,13.5605,1.21961,1066.32,0,0,0.137546,0,10.4058,0.0%,0.0%,1.3%,0.0%,98.7%
246.75,13.541,1.22001,1066.34,0,0,0.137488,0,10.4063,0.0%,0.0%,1.3%,0.0%,98.7%
246.7,13.5223,1.22034,1066.36,0,0,0.137422,0,10.407,0.0%,0.0%,1.3%,0.0%,98.7%
246.65,13.5036,1.22068,1066.38,0,0,0.137355,0,10.4076,0.0%,0.0%,1.3%,0.0%,98.7%
246.6,13.485,1.22101,1066.4,0,0,0.137289,0,10.4082,0.0%,0.0%,1.3%,0.0%,98.7%
246.55,13.4665,1.22135,1066.42,0,0,0.137222,0,10.4088,0.0%,0.0%,1.3%,0.0%,98.7%
246.5,13.448,1.22169,1066.44,0,0,0.137154,0,10.4094,0.0%,0.0%,1.3%,0.0%,98.7%
246.45,13.4296,1.22202,1066.45,0,0,0.137087,0,10.41,0.0%,0.0%,1.3%,0.0%,98.7%
246.4,13.4113,1.22236,1066.47,0,0,0.137019,0,10.4105,0.0%,0.0%,1.3%,0.0%,98.7%
246.35,13.3931,1.2227,1066.49,0,0,0.136952,0,10.4111,0.0%,0.0%,1.3%,0.0%,98.7%
246.3,13.3749,1.22304,1066.51,0,0,0.136883,0,10.4117,0.0%,0.0%,1.3%,0.0%,98.7%
246.25,13.3567,1.22338,1066.53,0,0,0.136815,0,10.4123,0.0%,0.0%,1.3%,0.0%,98.7%
246.2,13.3387,1.22371,1066.55,0,0,0.136747,0,10.4129,0.0%,0.0%,1.3%,0.0%,98.7%
246.15,13.321,1.22403,1066.56,0,0,0.136674,0,10.4135,0.0%,0.0%,1.3%,0.0%,98.7%
246.1,13.3027,1.22439,1066.58,0,0,0.136609,0,10.4141,0.0%,0.0%,1.3%,0.0%,98.7%
246.05,13.2856,1.22467,1066.6,0,0,0.13653,0,10.4147,0.0%,0.0%,1.3%,0.0%,98.7%
246,13.2671,1.22508,1066.62,0,0,0.13647,0,10.4152,0.0%,0.0%,1.3%,0.0%,98.7%
245.95,13.2493,1.22542,1066.64,0,0,0.1364,0,10.4158,0.0%,0.0%,1.3%,0.0%,98.7%
245.9,13.2317,1.22576,1066.66,0,0,0.13633,0,10.4164,0.0%,0.0%,1.3%,0.0%,98.7%
245.85,13.214,1.2261,1066.67,0,0,0.13626,0,10.4169,0.0%,0.0%,1.3%,0.0%,98.7%
245.8,13.1965,1.22645,1066.69,0,0,0.136189,0,10.4175,0.0%,0.0%,1.3%,0.0%,98.7%
245.75,13.179,1.22679,1066.71,0,0,0.136118,0,10.4181,0.0%,0.0%,1.3%,0.0%,98.7%
245.7,13.1615,1.22713,1066.73,0,0,0.136047,0,10.4186,0.0%,0.0%,1.3%,0.0%,98.7%
245.65,13.1442,1.22748,1066.74,0,0,0.135975,0,10.4192,0.0%,0.0%,1.3%,0.0%,98.7%
245.6,13.1269,1.22782,1066.76,0,0,0.135904,0,10.4198,0.0%,0.0%,1.3%,0.0%,98.7%
245.55,13.1102,1.22811,1066.78,0,0,0.135824,0,10.4204,0.0%,0.0%,1.3%,0.0%,98.7%
245.5,13.0924,1.22851,1066.8,0,0,0.13576,0,10.4209,0.0%,0.0%,1.3%,0.0%,98.7%
245.45,13.0753,1.22886,1066.81,0,0,0.135687,0,10.4214,0.0%,0.0%,1.3%,0.0%,98.7%
245.4,13.0582,1.22921,1066.83,0,0,0.135614,0,10.422,0.0%,0.0%,1.3%,0.0%,98.7%
245.35,13.0412,1.22955,1066.85,0,0,0.135541,0,10.4226,0.0%,0.0%,1.3%,0.0%,98.7%
245.3,13.0242,1.2299,1066.86,0,0,0.135468,0,10.4231,0.0%,0.0%,1.3%,0.0%,98.7%
245.25,13.0073,1.23025,1066.88,0,0,0.135394,0,10.4237,0.0%,0.0%,1.3%,0.0%,98.7%
245.2,12.9904,1.2306,1066.9,0,0,0.135321,0,10.4242,0.0%,0.0%,1.3%,0.0%,98.7%
245.15,12.9736,1.23095,1066.92,0,0,0.135246,0,10.4248,0.0%,0.0%,1.3%,0.0%,98.7%
245.1,12.9569,1.2313,1066.93,0,0,0.135171,0,10.4253,0.0%,0.0%,1.3%,0.0%,98.7%
245.05,12.8658,1.23143,1067.01,0.0247752,0,0.136349,0,10.4221,0.2%,0.0%,1.3%,0.0%,98.5%
245,12.7649,1.23147,1067.1,0.0531128,0,0.137699,0,10.4185,0.5%,0.0%,1.3%,0.0%,98.2%
244.95,12.6661,1.23162,1067.18,0.0804786,0,0.139015,0,10.4149,0.8%,0.0%,1.3%,0.0%,97.9%
244.9,12.5688,1.23172,1067.27,0.107571,0,0.140311,0,10.4113,1.0%,0.0%,1.3%,0.0%,97.7%
244.85,12.4733,1.23182,1067.35,0.134184,0,0.141583,0,10.4079,1.3%,0.0%,1.3%,0.0%,97.4%
244.8,12.3794,1.23192,1067.43,0.160337,0,0.142831,0,10.4045,1.5%,0.0%,1.3%,0.0%,97.2%
244.75,12.2872,1.23201,1067.51,0.186045,0,0.144057,0,10.4011,1.7%,0.0%,1.3%,0.0%,96.9%
244.7,12.1965,1.23211,1067.58,0.211303,0,0.14526,0,10.3978,2.0%,0.0%,1.4%,0.0%,96.7%
244.65,12.1072,1.23216,1067.66,0.236272,0,0.146445,0,10.3946,2.2%,0.0%,1.4%,0.0%,96.4%
244.6,12.0196,1.23231,1067.74,0.260509,0,0.147602,0,10.3915,2.4%,0.0%,1.4%,0.0%,96.2%
244.55,11.9334,1.2324,1067.81,0.284504,0,0.148742,0,10.3883,2.6%,0.0%,1.4%,0.0%,96.0%
244.5,11.8486,1.2325,1067.88,0.308098,0,0.149862,0,10.3853,2.8%,0.0%,1.4%,0.0%,95.8%
244.45,11.7652,1.23256,1067.96,0.331426,0,0.150965,0,10.3823,3.1%,0.0%,1.4%,0.0%,95.6%
244.4,11.6832,1.2327,1068.03,0.354102,0,0.152044,0,10.3793,3.3%,0.0%,1.4%,0.0%,95.4%
244.35,11.6025,1.23289,1068.09,0.376253,0,0.153101,0,10.3765,3.5%,0.0%,1.4%,0.0%,95.1%
244.3,11.523,1.23289,1068.16,0.398626,0,0.15415,0,10.3736,3.6%,0.0%,1.4%,0.0%,94.9%
244.25,11.4449,1.233,1068.23,0.420325,0,0.155176,0,10.3708,3.8%,0.0%,1.4%,0.0%,94.7%
244.2,11.3679,1.23309,1068.3,0.441707,0,0.156185,0,10.368,4.0%,0.0%,1.4%,0.0%,94.5%
244.15,11.2922,1.2332,1068.36,0.462705,0,0.157177,0,10.3653,4.2%,0.0%,1.4%,0.0%,94.4%
244.1,11.2176,1.2333,1068.42,0.483399,0,0.158152,0,10.3627,4.4%,0.0%,1.4%,0.0%,94.2%
244.05,11.1442,1.23341,1068.49,0.50377,0,0.159112,0,10.3601,4.6%,0.0%,1.4%,0.0%,94.0%
244,11.072,1.23344,1068.55,0.524021,0,0.160058,0,10.3575,4.7%,0.0%,1.4%,0.0%,93.8%
243.95,11.0008,1.2336,1068.61,0.543583,0,0.160983,0,10.355,4.9%,0.0%,1.5%,0.0%,93.6%
243.9,10.9306,1.23371,1068.67,0.563012,0,0.161895,0,10.3525,5.1%,0.0%,1.5%,0.0%,93.5%
243.85,10.8616,1.2338,1068.73,0.582171,0,0.162794,0,10.35,5.2%,0.0%,1.5%,0.0%,93.3%
243.8,10.7935,1.23392,1068.79,0.601003,0,0.163677,0,10.3476,5.4%,0.0%,1.5%,0.0%,93.1%
243.75,10.6993,1.23392,1068.87,0.624671,0.00285382,0.164758,0,10.3448,5.6%,0.0%,1.5%,0.0%,92.9%
243.7,10.6007,1.23384,1068.95,0.649195,0.00630285,0.165868,0,10.3419,5.8%,0.1%,1.5%,0.0%,92.6%
243.65,10.5042,1.2338,1069.03,0.673112,0.00966412,0.166952,0,10.339,6.0%,0.1%,1.5%,0.0%,92.4%
243.6,10.41,1.23385,1069.11,0.696243,0.0129086,0.168008,0,10.3363,6.2%,0.1%,1.5%,0.0%,92.2%
243.55,10.3173,1.23383,1069.19,0.719159,0.0161275,0.169047,0,10.3336,6.4%,0.1%,1.5%,0.0%,92.0%
243.5,10.2266,1.23386,1069.27,0.741493,0.0192617,0.170063,0,10.3309,6.6%,0.2%,1.5%,0.0%,91.7%
243.45,10.1374,1.23385,1069.35,0.763501,0.0223523,0.17106,0,10.3283,6.8%,0.2%,1.5%,0.0%,91.5%
243.4,10.0496,1.23379,1069.42,0.785273,0.0254132,0.172041,0,10.3258,6.9%,0.2%,1.5%,0.0%,91.3%
243.35,9.96373,1.23378,1069.49,0.806467,0.0283895,0.173,0,10.3233,7.1%,0.3%,1.5%,0.0%,91.1%
243.3,9.87913,1.2337,1069.57,0.8275,0.031348,0.173945,0,10.3208,7.3%,0.3%,1.5%,0.0%,90.9%
243.25,9.79657,1.23376,1069.64,0.847701,0.0341803,0.174863,0,10.3184,7.5%,0.3%,1.5%,0.0%,90.7%
243.2,9.71524,1.23375,1069.71,0.867752,0.0369961,0.175768,0,10.316,7.6%,0.3%,1.5%,0.0%,90.5%
243.15,9.63522,1.2337,1069.77,0.887585,0.0397841,0.176658,0,10.3137,7.8%,0.3%,1.5%,0.0%,90.3%
243.1,9.55672,1.23367,1069.84,0.906955,0.042505,0.17753,0,10.3114,7.9%,0.4%,1.6%,0.0%,90.1%
243.05,9.47957,1.23364,1069.91,0.926013,0.0451826,0.178386,0,10.3092,8.1%,0.4%,1.6%,0.0%,90.0%
243,9.4041,1.23373,1069.97,0.944387,0.0477568,0.179219,0,10.307,8.2%,0.4%,1.6%,0.0%,89.8%
242.95,9.32975,1.23376,1070.03,0.962618,0.0503148,0.18004,0,10.3049,8.4%,0.4%,1.6%,0.0%,89.6%
242.9,9.25652,1.23373,1070.1,0.980689,0.0528536,0.18085,0,10.3028,8.5%,0.5%,1.6%,0.0%,89.5%
242.85,9.18459,1.23373,1070.16,0.998374,0.0553365,0.181644,0,10.3007,8.7%,0.5%,1.6%,0.0%,89.3%
242.8,9.11389,1.23373,1070.22,1.01575,0.0577762,0.182423,0,10.2987,8.8%,0.5%,1.6%,0.0%,89.1%
242.75,9.04429,1.2337,1070.28,1.03291,0.0601865,0.183189,0,10.2967,8.9%,0.5%,1.6%,0.0%,89.0%
242.7,8.97601,1.23376,1070.33,1.04958,0.0625242,0.183939,0,10.2947,9.1%,0.5%,1.6%,0.0%,88.8%
242.65,8.90854,1.23365,1070.39,1.06636,0.064885,0.184682,0,10.2928,9.2%,0.6%,1.6%,0.0%,88.7%
242.6,8.84247,1.23371,1070.45,1.08248,0.0671454,0.185405,0,10.2909,9.3%,0.6%,1.6%,0.0%,88.5%
242.55,8.77745,1.23376,1070.5,1.09834,0.0693695,0.186116,0,10.289,9.4%,0.6%,1.6%,0.0%,88.4%
242.5,8.71339,1.23376,1070.56,1.11404,0.071574,0.186816,0,10.2872,9.6%,0.6%,1.6%,0.0%,88.2%
242.45,8.65018,1.23366,1070.61,1.12974,0.073783,0.187509,0,10.2854,9.7%,0.6%,1.6%,0.0%,88.1%
242.4,8.58814,1.23368,1070.67,1.14494,0.0759158,0.188186,0,10.2836,9.8%,0.6%,1.6%,0.0%,87.9%
242.35,8.52713,1.23373,1070.72,1.15979,0.0779973,0.188849,0,10.2819,9.9%,0.7%,1.6%,0.0%,87.8%
242.3,8.46708,1.2338,1070.77,1.17437,0.0800421,0.189501,0,10.2802,10.0%,0.7%,1.6%,0.0%,87.7%
242.25,8.40788,1.23382,1070.82,1.18885,0.0820733,0.190144,0,10.2785,10.1%,0.7%,1.6%,0.0%,87.6%
242.2,8.34958,1.23384,1070.87,1.2031,0.084073,0.190776,0,10.2768,10.2%,0.7%,1.6%,0.0%,87.4%
242.15,8.29215,1.23385,1070.92,1.21714,0.0860441,0.191398,0,10.2752,10.3%,0.7%,1.6%,0.0%,87.3%
242.1,8.2356,1.23387,1070.96,1.23095,0.0879825,0.19201,0,10.2736,10.4%,0.7%,1.6%,0.0%,87.2%
242.05,8.17978,1.23378,1071.01,1.24479,0.0899295,0.192615,0,10.272,10.5%,0.8%,1.6%,0.0%,87.1%
242,8.125,1.23391,1071.06,1.25796,0.0917728,0.193203,0,10.2705,10.6%,0.8%,1.6%,0.0%,86.9%
241.95,8.07087,1.23386,1071.11,1.27129,0.0936455,0.193788,0,10.2689,10.7%,0.8%,1.6%,0.0%,86.8%
241.9,8.01758,1.23389,1071.15,1.28428,0.0954677,0.194361,0,10.2675,10.8%,0.8%,1.6%,0.0%,86.7%
241.85,7.96511,1.23398,1071.19,1.29694,0.0972422,0.194922,0,10.266,10.9%,0.8%,1.6%,0.0%,86.6%
241.8,7.91335,1.23401,1071.24,1.30954,0.09901,0.195477,0,10.2645,11.0%,0.8%,1.6%,0.0%,86.5%
241.75,7.86233,1.23404,1071.28,1.32196,0.100753,0.196023,0,10.2631,11.1%,0.8%,1.6%,0.0%,86.4%
241.7,7.81203,1.23407,1071.33,1.3342,0.10247,0.196561,0,10.2617,11.2%,0.9%,1.7%,0.0%,86.3%
241.65,7.76239,1.23399,1071.37,1.34646,0.104194,0.197093,0,10.2603,11.3%,0.9%,1.7%,0.0%,86.2%
241.6,7.71353,1.23412,1071.41,1.35816,0.105831,0.197611,0,10.2589,11.4%,0.9%,1.7%,0.0%,86.1%
241.55,7.66531,1.23415,1071.45,1.36989,0.107477,0.198124,0,10.2576,11.5%,0.9%,1.7%,0.0%,86.0%
241.5,7.61775,1.23419,1071.49,1.38142,0.109095,0.198629,0,10.2563,11.6%,0.9%,1.7%,0.0%,85.9%
241.45,7.57085,1.23423,1071.53,1.3928,0.110692,0.199126,0,10.255,11.6%,0.9%,1.7%,0.0%,85.8%
241.4,7.52458,1.23426,1071.57,1.40403,0.112266,0.199616,0,10.2537,11.7%,0.9%,1.7%,0.0%,85.7%
241.35,7.47893,1.23418,1071.61,1.41529,0.113851,0.200101,0,10.2524,11.8%,1.0%,1.7%,0.0%,85.6%
241.3,7.43391,1.23433,1071.65,1.42601,0.115351,0.200573,0,10.2512,11.9%,1.0%,1.7%,0.0%,85.5%
241.25,7.38948,1.23438,1071.68,1.43677,0.116859,0.201041,0,10.2499,12.0%,1.0%,1.7%,0.0%,85.4%
241.2,7.34563,1.23442,1071.72,1.44738,0.118349,0.201502,0,10.2487,12.0%,1.0%,1.7%,0.0%,85.3%
241.15,7.30237,1.23446,1071.76,1.45786,0.119818,0.201956,0,10.2475,12.1%,1.0%,1.7%,0.0%,85.2%
241.1,7.25966,1.2345,1071.8,1.46819,0.121267,0.202404,0,10.2464,12.2%,1.0%,1.7%,0.0%,85.1%
241.05,7.21753,1.23446,1071.83,1.47851,0.122718,0.202847,0,10.2452,12.3%,1.0%,1.7%,0.0%,85.0%
241,7.17591,1.2346,1071.87,1.48841,0.124103,0.203279,0,10.2441,12.3%,1.0%,1.7%,0.0%,84.9%
240.95,7.13484,1.23463,1071.9,1.49836,0.125499,0.203707,0,10.2429,12.4%,1.0%,1.7%,0.0%,84.9%
240.9,7.09428,1.2347,1071.94,1.5081,0.126866,0.204129,0,10.2418,12.5%,1.1%,1.7%,0.0%,84.8%
240.85,7.05425,1.23474,1071.97,1.51777,0.128222,0.204545,0,10.2407,12.6%,1.1%,1.7%,0.0%,84.7%
240.8,7.01471,1.2348,1072,1.52729,0.129558,0.204954,0,10.2397,12.6%,1.1%,1.7%,0.0%,84.6%
240.75,6.97569,1.2348,1072.04,1.53677,0.130888,0.205359,0,10.2386,12.7%,1.1%,1.7%,0.0%,84.5%
240.7,6.93711,1.2349,1072.07,1.54599,0.13218,0.205757,0,10.2376,12.8%,1.1%,1.7%,0.0%,84.5%
240.65,6.89902,1.23496,1072.1,1.55513,0.133462,0.206149,0,10.2365,12.8%,1.1%,1.7%,0.0%,84.4%
240.6,6.86141,1.23502,1072.13,1.56418,0.134732,0.206536,0,10.2355,12.9%,1.1%,1.7%,0.0%,84.3%
240.55,6.82424,1.23508,1072.17,1.5731,0.135982,0.206917,0,10.2345,12.9%,1.1%,1.7%,0.0%,84.2%
240.5,6.78754,1.23513,1072.2,1.58193,0.137221,0.207294,0,10.2335,13.0%,1.1%,1.7%,0.0%,84.2%
240.45,6.75126,1.2352,1072.23,1.59062,0.13844,0.207665,0,10.2325,13.1%,1.1%,1.7%,0.0%,84.1%
240.4,6.71542,1.23527,1072.26,1.59921,0.139644,0.20803,0,10.2316,13.1%,1.1%,1.7%,0.0%,84.0%
240.35,6.68004,1.23529,1072.29,1.60775,0.140844,0.208392,0,10.2306,13.2%,1.2%,1.7%,0.0%,83.9%
240.3,6.64503,1.23538,1072.32,1.6161,0.142014,0.208747,0,10.2297,13.3%,1.2%,1.7%,0.0%,83.9%
240.25,6.61043,1.23547,1072.35,1.62435,0.14317,0.209097,0,10.2288,13.3%,1.2%,1.7%,0.0%,83.8%
240.2,6.57635,1.23541,1072.38,1.63269,0.144343,0.209446,0,10.2278,13.4%,1.2%,1.7%,0.0%,83.7%
240.15,6.54247,1.23561,1072.41,1.64061,0.145451,0.209785,0,10.2269,13.4%,1.2%,1.7%,0.0%,83.7%
240.1,6.50907,1.23568,1072.43,1.64858,0.146569,0.210121,0,10.2261,13.5%,1.2%,1.7%,0.0%,83.6%
240.05,6.47605,1.23576,1072.46,1.65645,0.147673,0.210453,0,10.2252,13.5%,1.2%,1.7%,0.0%,83.5%
240,6.44341,1.23584,1072.49,1.66424,0.148764,0.210781,0,10.2243,13.6%,1.2%,1.7%,0.0%,83.5%
239.95,6.41115,1.23591,1072.52,1.67194,0.149844,0.211104,0,10.2235,13.6%,1.2%,1.7%,0.0%,83.4%
239.9,6.37924,1.23599,1072.54,1.67953,0.150909,0.211423,0,10.2226,13.7%,1.2%,1.7%,0.0%,83.4%
239.85,6.34768,1.23608,1072.57,1.68703,0.151961,0.211737,0,10.2218,13.7%,1.2%,1.7%,0.0%,83.3%
239.8,6.31649,1.23615,1072.6,1.69446,0.153003,0.212048,0,10.221,13.8%,1.2%,1.7%,0.0%,83.2%
239.75,6.28562,1.23625,1072.62,1.70179,0.15403,0.212354,0,10.2201,13.8%,1.3%,1.7%,0.0%,83.2%
239.7,6.25512,1.23632,1072.65,1.70905,0.155049,0.212656,0,10.2193,13.9%,1.3%,1.7%,0.0%,83.1%
239.65,6.22493,1.23642,1072.68,1.7162,0.156051,0.212954,0,10.2185,13.9%,1.3%,1.7%,0.0%,83.1%
239.6,6.19508,1.2365,1072.7,1.72329,0.157046,0.213249,0,10.2178,14.0%,1.3%,1.7%,0.0%,83.0%
239.55,6.16554,1.2366,1072.73,1.73028,0.158025,0.213539,0,10.217,14.0%,1.3%,1.7%,0.0%,82.9%
239.5,6.13632,1.23669,1072.75,1.73719,0.158996,0.213826,0,10.2162,14.1%,1.3%,1.7%,0.0%,82.9%
239.45,6.10742,1.23679,1072.78,1.74403,0.159955,0.214108,0,10.2155,14.1%,1.3%,1.7%,0.0%,82.8%
239.4,6.07883,1.23688,1072.8,1.7508,0.160904,0.214388,0,10.2147,14.2%,1.3%,1.7%,0.0%,82.8%
239.35,6.05053,1.23698,1072.82,1.75748,0.161841,0.214663,0,10.214,14.2%,1.3%,1.7%,0.0%,82.7%
239.3,6.02271,1.23693,1072.85,1.76424,0.162791,0.214937,0,10.2133,14.3%,1.3%,1.7%,0.0%,82.7%
239.25,5.99483,1.23717,1072.87,1.77063,0.163685,0.215203,0,10.2126,14.3%,1.3%,1.7%,0.0%,82.6%
239.2,5.96741,1.23728,1072.89,1.77709,0.164591,0.215468,0,10.2119,14.4%,1.3%,1.7%,0.0%,82.6%
239.15,5.94027,1.23739,1072.92,1.78348,0.165486,0.21573,0,10.2112,14.4%,1.3%,1.7%,0.0%,82.5%
239.1,5.9134,1.2375,1072.94,1.78978,0.166371,0.215988,0,10.2105,14.5%,1.3%,1.7%,0.0%,82.5%
239.05,5.88662,1.23776,1072.96,1.79589,0.167224,0.216241,0,10.2098,14.5%,1.3%,1.7%,0.0%,82.4%
239,5.86054,1.23769,1072.99,1.80224,0.168119,0.216494,0,10.2091,14.5%,1.4%,1.7%,0.0%,82.4%
238.95,5.83459,1.23774,1073.01,1.80842,0.168987,0.216743,0,10.2084,14.6%,1.4%,1.7%,0.0%,82.3%
238.9,5.80869,1.23793,1073.03,1.81439,0.169823,0.216988,0,10.2078,14.6%,1.4%,1.7%,0.0%,82.3%
238.85,5.78316,1.23805,1073.05,1.82037,0.170661,0.21723,0,10.2071,14.7%,1.4%,1.7%,0.0%,82.2%
238.8,5.75787,1.23818,1073.07,1.82628,0.17149,0.217469,0,10.2065,14.7%,1.4%,1.8%,0.0%,82.2%
238.75,5.73288,1.23827,1073.09,1.83215,0.172314,0.217705,0,10.2059,14.7%,1.4%,1.8%,0.0%,82.1%
238.7,5.70811,1.23839,1073.12,1.83795,0.173127,0.217938,0,10.2052,14.8%,1.4%,1.8%,0.0%,82.1%
238.65,5.68356,1.23852,1073.14,1.84367,0.17393,0.218168,0,10.2046,14.8%,1.4%,1.8%,0.0%,82.0%
238.6,5.65949,1.23849,1073.16,1.84948,0.174746,0.218396,0,10.204,14.9%,1.4%,1.8%,0.0%,82.0%
238.55,5.63519,1.23878,1073.18,1.85494,0.175511,0.218619,0,10.2034,14.9%,1.4%,1.8%,0.0%,81.9%
238.5,5.61135,1.23891,1073.2,1.86049,0.176289,0.21884,0,10.2028,14.9%,1.4%,1.8%,0.0%,81.9%
238.45,5.58779,1.23902,1073.22,1.866,0.177062,0.219059,0,10.2022,15.0%,1.4%,1.8%,0.0%,81.9%
238.4,5.56442,1.23914,1073.24,1.87144,0.177826,0.219275,0,10.2016,15.0%,1.4%,1.8%,0.0%,81.8%
238.35,5.5412,1.23932,1073.26,1.87678,0.178575,0.219488,0,10.201,15.0%,1.4%,1.8%,0.0%,81.8%
238.3,5.51827,1.23945,1073.28,1.88211,0.179322,0.219699,0,10.2005,15.1%,1.4%,1.8%,0.0%,81.7%
238.25,5.49553,1.2396,1073.3,1.88737,0.18006,0.219906,0,10.1999,15.1%,1.4%,1.8%,0.0%,81.7%
238.2,5.47303,1.23974,1073.31,1.89259,0.180792,0.220112,0,10.1993,15.1%,1.4%,1.8%,0.0%,81.6%
238.15,5.45073,1.23988,1073.33,1.89775,0.181517,0.220314,0,10.1988,15.2%,1.5%,1.8%,0.0%,81.6%
238.1,5.42862,1.24003,1073.35,1.90285,0.182233,0.220514,0,10.1982,15.2%,1.5%,1.8%,0.0%,81.6%
238.05,5.40674,1.24017,1073.37,1.90791,0.182944,0.220712,0,10.1977,15.3%,1.5%,1.8%,0.0%,81.5%
238,5.38502,1.24033,1073.39,1.91291,0.183644,0.220907,0,10.1972,15.3%,1.5%,1.8%,0.0%,81.5%
237.95,5.36353,1.24048,1073.41,1.91786,0.18434,0.2211,0,10.1966,15.3%,1.5%,1.8%,0.0%,81.4%
237.9,5.34223,1.24063,1073.43,1.92277,0.185029,0.22129,0,10.1961,15.4%,1.5%,1.8%,0.0%,81.4%
237.85,5.32115,1.24077,1073.44,1.92764,0.185713,0.221478,0,10.1956,15.4%,1.5%,1.8%,0.0%,81.4%
237.8,5.30018,1.24095,1073.46,1.93243,0.186385,0.221664,0,10.1951,15.4%,1.5%,1.8%,0.0%,81.3%
237.75,5.27943,1.24112,1073.48,1.93718,0.187051,0.221847,0,10.1946,15.4%,1.5%,1.8%,0.0%,81.3%
237.7,5.25887,1.24128,1073.5,1.94189,0.187713,0.222028,0,10.1941,15.5%,1.5%,1.8%,0.0%,81.3%
237.65,5.2385,1.24145,1073.51,1.94656,0.188369,0.222207,0,10.1936,15.5%,1.5%,1.8%,0.0%,81.2%
237.6,5.21839,1.24156,1073.53,1.95122,0.189023,0.222383,0,10.1931,15.5%,1.5%,1.8%,0.0%,81.2%
237.55,5.19822,1.24183,1073.55,1.95573,0.189655,0.222557,0,10.1926,15.6%,1.5%,1.8%,0.0%,81.1%
237.5,5.17841,1.24197,1073.56,1.96027,0.190294,0.222729,0,10.1921,15.6%,1.5%,1.8%,0.0%,81.1%
237.45,5.15875,1.24214,1073.58,1.96476,0.190925,0.222899,0,10.1917,15.6%,1.5%,1.8%,0.0%,81.1%
237.4,5.13922,1.24233,1073.6,1.9692,0.191548,0.223067,0,10.1912,15.7%,1.5%,1.8%,0.0%,81.0%
237.35,5.11985,1.24253,1073.61,1.97359,0.192164,0.223233,0,10.1907,15.7%,1.5%,1.8%,0.0%,81.0%
237.3,5.10083,1.24262,1073.63,1.97801,0.192786,0.223397,0,10.1903,15.7%,1.5%,1.8%,0.0%,81.0%
237.25,5.08165,1.2429,1073.65,1.98226,0.193382,0.223558,0,10.1898,15.7%,1.5%,1.8%,0.0%,80.9%
237.2,5.06279,1.24309,1073.66,1.98653,0.193983,0.223717,0,10.1894,15.8%,1.5%,1.8%,0.0%,80.9%
237.15,5.04403,1.24331,1073.68,1.99074,0.194574,0.223875,0,10.1889,15.8%,1.5%,1.8%,0.0%,80.9%
237.1,5.02553,1.24348,1073.69,1.99495,0.195166,0.22403,0,10.1885,15.8%,1.5%,1.8%,0.0%,80.8%
237.05,5.00714,1.24368,1073.71,1.9991,0.19575,0.224184,0,10.188,15.9%,1.6%,1.8%,0.0%,80.8%
237,4.98873,1.24397,1073.72,2.00316,0.19632,0.224335,0,10.1876,15.9%,1.6%,1.8%,0.0%,80.8%
